aapl	320193
msft	789019
goog	1652044
amzn	1018724
fb	1326801
ge	40545
tsla	1318605
brk-a	1067983
tcehy	1293451
tsm	1046179
jpm	19617
v	1403161
baba	1577552
jnj	200406
spy	884394
unh	731766
wmt	104169
bac	70858
lvmuy	824046
hd	354950
ma	1141391
pg	80424
asml	937966
dis	1744489
adbe	796343
pypl	1633917
nflx	1065280
xom	34088
crm	1108524
orcl	1341439
nke	320187
cmcsa	1166691
tm	1094517
nvo	353278
pfe	78003
tmo	97745
idcby	1445468
csco	858877
ko	21344
lly	59478
intc	50863
vz	732712
dhr	313616
pep	77476
abt	1800
acn	1467373
cvx	93410
vwdry	1330306
cihky	1495688
avgo	1730168
cost	909832
wfc	72971
mrk	310158
chdry	1450488
rds-a	1306965
se	1703399
nvs	1114448
abbv	1551152
ms	895421
azn	901832
t	732717
txn	97476
shop	1594805
mcd	63908
cichy	1445474
ups	1090727
nee	753308
mdt	1613103
sap	1000184
hesay	1436949
lin	1707925
low	60667
ptr	1108329
acgby	1501437
intu	896878
schw	316709
hon	773840
ry	1000275
unp	100885
pm	1413329
qcom	804328
tmus	1283699
c	831001
qqq	1067839
axp	4962
amd	2488
hdb	1144967
bhp	811809
ul	217410
nvda	1045810
tte	879764
gs	886982
rtx	101829
blk	1364742
sony	313838
chtr	1091667
mrna	1682852
now	1373715
sbux	829224
bbl	1171264
jd	1549802
td	947263
bmy	14272
ba	12927
bachy	1378999
amt	1053507
tgt	27419
pdd	1737806
hsbc	1089113
sny	1121404
rtntf	887028
amat	6951
amgn	318154
ibm	51143
sq	1512673
deo	835403
lfc	1268896
cvs	64803
snap	1564408
idexy	1438656
el	1001250
bud	1668717
cat	18230
pld	1045609
de	315189
spgi	64040
mmm	66740
abnb	1559720
byddy	1445162
rio	863064
syk	310764
antm	1156039
team	1650372
lmt	936468
dmlry	1067318
eadsy	1378580
cop	1163165
bp	313807
snow	1640147
infy	1067491
gsk	1131399
sftby	1065521
bkng	1075531
zts	1555280
adi	6281
bx	1393818
ppruy	1445465
cni	16868
bam	1001085
usb	36104
sbgsy	923734
eqnr	1140625
adp	8670
pnc	713676
mo	764180
uber	1543151
enb	895728
esloy	1085922
dell	1571996
tfc	92230
mmc	62709
mdlz	1103982
gm	1467858
bnpqy	310732
gild	882095
cb	896159
bti	1303523
coin	1679788
cta-pa	30554
bns	9631
zm	1585521
hca	860730
csx	277948
gwlly	1536278
meli	1099590
shw	89800
duk	1326160
aiquy	1161167
hkxcy	1445476
cof	927628
fis	1136893
atlky	748954
tjx	109198
cme	1156375
mu	723125
snp	1123658
lrcx	707549
cci	1051470
mufg	67088
ice	1571949
fisv	798354
kddiy	1106215
ci	1739940
dash	1792789
eqix	1101239
ew	1099800
bdx	10795
nsc	702165
wbk	719245
aon	315293
bmo	927971
ibn	1103838
itw	49826
mco	1059556
shecy	1442651
wday	1327811
swgay	1438845
vmw	1124610
ntes	1110646
wm	823768
vale	917851
so	92122
cfruy	948401
san	891478
glncy	1524684
pstvy	1689565
bntx	1776985
pbr	1119639
toely	1443276
nio	1736541
apd	2969
abb	1091587
adsk	769397
frcoy	1446595
f	37996
dkily	1446519
etn	1551182
crwd	1535527
noc	1133421
njdcy	1158967
cl	21665
ecl	31462
bidu	1329099
bsx	885725
csuay	1445470
twlo	1447669
d	715957
